,symbol,date,open,high,low,close,volume,adjusted
1,TSLA,1/3/2023,118.4700012,118.8000031,104.6399994,108.0999985,231402800,108.0999985
2,TSLA,1/4/2023,109.1100006,114.5899963,107.5199966,113.6399994,180389000,113.6399994
3,TSLA,1/5/2023,110.5100021,111.75,107.1600037,110.3399963,157986300,110.3399963
4,TSLA,1/6/2023,103,114.3899994,101.8099976,113.0599976,220911100,113.0599976
5,TSLA,1/9/2023,118.9599991,123.5199966,117.1100006,119.7699966,190284000,119.7699966
6,TSLA,1/10/2023,121.0699997,122.7600021,114.9199982,118.8499985,167642500,118.8499985
7,TSLA,1/11/2023,122.0899963,125.9499969,120.5100021,123.2200012,183810800,123.2200012
8,TSLA,1/12/2023,122.5599976,124.1299973,117,123.5599976,169400900,123.5599976
9,TSLA,1/13/2023,116.5500031,122.6299973,115.5999985,122.4000015,180714100,122.4000015
10,TSLA,1/17/2023,125.6999969,131.6999969,125.0199966,131.4900055,186477000,131.4900055
11,TSLA,1/18/2023,136.5599976,136.6799927,127.0100021,128.7799988,195680300,128.7799988
12,TSLA,1/19/2023,127.2600021,129.9900055,124.3099976,127.1699982,170291900,127.1699982
13,TSLA,1/20/2023,128.6799927,133.5099945,127.3499985,133.4199982,138858100,133.4199982
14,TSLA,1/23/2023,135.8699951,145.3800049,134.2700043,143.75,203119200,143.75
15,TSLA,1/24/2023,143,146.5,141.1000061,143.8899994,158699100,143.8899994
16,TSLA,1/25/2023,141.9100037,146.4100037,138.0700073,144.4299927,192734300,144.4299927
17,TSLA,1/26/2023,159.9700012,161.4199982,154.7599945,160.2700043,234815100,160.2700043
18,TSLA,1/27/2023,162.4299927,180.6799927,161.1699982,177.8999939,306590600,177.8999939
19,TSLA,1/30/2023,178.0500031,179.7700043,166.5,166.6600037,230878800,166.6600037
20,TSLA,1/31/2023,164.5700073,174.3000031,162.7799988,173.2200012,196813500,173.2200012
21,TSLA,2/1/2023,173.8899994,183.8099976,169.9299927,181.4100037,213806300,181.4100037
22,TSLA,2/2/2023,187.3300018,196.75,182.6100006,188.2700043,217448300,188.2700043
23,TSLA,2/3/2023,183.9499969,199,183.6900024,189.9799957,232662000,189.9799957
24,TSLA,2/6/2023,193.0099945,198.1699982,189.9199982,194.7599945,186188100,194.7599945
25,TSLA,2/7/2023,196.4299927,197.5,189.5500031,196.8099976,186010300,196.8099976
26,TSLA,2/8/2023,196.1000061,203,194.3099976,201.2899933,180673600,201.2899933
27,TSLA,2/9/2023,207.7799988,214,204.7700043,207.3200073,215431400,207.3200073
28,TSLA,2/10/2023,202.2299957,206.1999969,192.8899994,196.8899994,204754100,196.8899994
29,TSLA,2/13/2023,194.4199982,196.3000031,187.6100006,194.6399994,172475500,194.6399994
30,TSLA,2/14/2023,191.9400024,209.8200073,189.4400024,209.25,216455700,209.25
31,TSLA,2/15/2023,211.7599945,214.6600037,206.1100006,214.2400055,181006400,214.2400055
32,TSLA,2/16/2023,210.7799988,217.6499939,201.8399963,202.0399933,229586500,202.0399933
33,TSLA,2/17/2023,199.9900055,208.4400024,197.5,208.3099976,213738500,208.3099976
34,TSLA,2/21/2023,204.9900055,209.7100067,197.2200012,197.3699951,180018600,197.3699951
35,TSLA,2/22/2023,197.9299927,201.9900055,191.7799988,200.8600006,191828500,200.8600006
36,TSLA,2/23/2023,203.9100037,205.1399994,196.3300018,202.0700073,146360000,202.0700073
37,TSLA,2/24/2023,196.3300018,197.6699982,192.8000031,196.8800049,142228100,196.8800049
38,TSLA,2/27/2023,202.0299988,209.4199982,201.2599945,207.6300049,161028300,207.6300049
39,TSLA,2/28/2023,210.5899963,211.2299957,203.75,205.7100067,153144900,205.7100067
40,TSLA,3/1/2023,206.2100067,207.1999969,198.5200043,202.7700043,156852800,202.7700043
41,TSLA,3/2/2023,186.7400055,193.75,186.0099945,190.8999939,181500700,190.8999939
42,TSLA,3/3/2023,194.8000031,200.4799957,192.8800049,197.7899933,154193300,197.7899933
43,TSLA,3/6/2023,198.5399933,198.6000061,192.3000031,193.8099976,128100100,193.8099976
44,TSLA,3/7/2023,191.3800049,194.1999969,186.1000061,187.7100067,148125800,187.7100067
45,TSLA,3/8/2023,185.0399933,186.5,180,182,151897800,182
46,TSLA,3/9/2023,180.25,185.1799927,172.5099945,172.9199982,170023800,172.9199982
47,TSLA,3/10/2023,175.1300049,178.2899933,168.4400024,173.4400024,191488900,173.4400024
48,TSLA,3/13/2023,167.4600067,177.3500061,163.9100037,174.4799957,167790300,174.4799957
49,TSLA,3/14/2023,177.3099976,183.8000031,177.1399994,183.2599945,143717900,183.2599945
50,TSLA,3/15/2023,180.8000031,182.3399963,176.0299988,180.4499969,145995600,180.4499969
51,TSLA,3/16/2023,180.3699951,185.8099976,178.8399963,184.1300049,121136800,184.1300049
